cluster,cluster_size,uncertainty,centroid_uncertainty,host_entropy,short_entropy,time_span,true_attack_alerts,true_attack_ratio
58,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9403,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9404,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
15,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
14,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
13,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9396,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9399,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2754,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2713,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2706,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2768,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2760,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8294,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
8295,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8296,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8301,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8303,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8328,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8329,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8304,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8258,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8265,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8266,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8280,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
8283,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
8285,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
8289,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
8224,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8228,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8229,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8251,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8252,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8240,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8246,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8257,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8219,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
528,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8363,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8364,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8431,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8421,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8247,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
