delta,theta,seconds,precision,recall,tnr,f1,mcc,accuracy
8.0,256.0,180.47302389144897,0.4233862875170137,0.6010290911597127,0.9928460591812249,0.266812408719977,0.321561347680724,0.9473285306311651
24.0,256.0,470.7918176651001,0.27158934826388853,0.722126633616251,0.9779431026820381,0.20136496207466487,0.24416983122538038,0.9361552885257978
8.0,128.0,197.89111852645874,0.3127923636612311,0.6242882570858264,0.9924430964918746,0.19519429910573535,0.25381370311394635,0.9469305775562518
8.0,64.0,196.41240525245667,0.30946128748663215,0.6242882657760012,0.9924393692177458,0.18975633865396663,0.24792997552991025,0.9469268626708521
12.0,256.0,271.9122338294983,0.28522734944431005,0.6534169662227187,0.9895439202807227,0.18514166883466207,0.23566654797214723,0.9446598580975343
12.0,128.0,277.45405292510986,0.28494340005642876,0.6655718263174031,0.9893516344381664,0.1847267451398093,0.23618281456873355,0.9444715949986845
16.0,256.0,340.5182590484619,0.2904444491327438,0.6445465443858586,0.9857501192927981,0.1828047727278913,0.2290119892949224,0.9416578284755681
16.0,128.0,338.82439708709717,0.28971806603809397,0.7001021042926272,0.9830581216168037,0.1816521892980467,0.22887408945071763,0.9389685201698621
24.0,64.0,467.5112600326538,0.21993587577572848,0.7845951712069762,0.9732488610499599,0.1680380678612068,0.20986009102278608,0.9315884722186419
16.0,32.0,336.8670377731323,0.23304345298414622,0.7183449588928281,0.9823307639552872,0.1642104911733821,0.20558429880876236,0.9384504745974359
8.0,32.0,197.55505299568176,0.25409071192395355,0.6314230568547547,0.9922206924787331,0.16237245158945865,0.21775558865097822,0.9467108808815647
24.0,32.0,476.6933000087738,0.2087341807954402,0.8112597154780617,0.9707030296022512,0.1615043652769682,0.19277678771275855,0.9292767290562323
24.0,128.0,468.6338994503021,0.21548931407492666,0.7776839936175775,0.9734520108701703,0.16079416477338146,0.2034379452954266,0.9316683121492366
16.0,64.0,336.42921352386475,0.2341611482883381,0.7072388775211349,0.9824647519608364,0.15394655753198283,0.19773359850945005,0.9383797053254193
12.0,64.0,274.43891406059265,0.22810973940420742,0.728262190366237,0.987672729248065,0.143161751355359,0.1961280816949039,0.9427979137378804
12.0,32.0,269.57502126693726,0.22802735836591634,0.72826269874372,0.9875675015063791,0.14311693778315898,0.19589226422464842,0.9426933740309283
