cluster,cluster_size,uncertainty,centroid_uncertainty,host_entropy,short_entropy,time_span,true_attack_alerts,true_attack_ratio
1,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
18,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
14,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
10,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
11,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
12,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
15,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
17,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
25,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
26,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
24,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
23,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
21,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
20,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
35,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
32,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
33,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
48,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
44,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
39,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
29,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
28,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
37,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
36,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
86,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
215,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
188,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
38,14,0.4442445529628562,0.3116321904773809,0.8053204460925903,0.863120568566631,21.0,0,0.0
222,32,0.4186574380207848,0.20295638269649796,1.0,0.9463946303571862,0.902318000793457,0,0.0
0,20,0.41249933298819014,0.22431991697328435,1.0,0.7788813907161498,0.12975788116455078,0,0.0
19,24,0.38560997054281476,0.17902669268271698,1.0,0.7614744352643517,0.14144396781921387,0,0.0
224,12,0.3764827769206731,0.09299694016679616,0.9182958340544896,0.9276942711037669,0.04400300979614258,0,0.0
89,4,0.35581997701912804,0.02705033509444288,0.8112781244591328,0.8112781244591328,19.0,0,0.0
214,4,0.34993206065472643,0.014398175272315905,0.8112781244591328,0.8112781244591328,5.0,0,0.0
125,7,0.3485879274965991,0.0003052620854894217,0.8322488896002307,0.9852281360342515,17.0,0,0.0
219,84,0.3195971045921465,0.22388638114287196,0.6336043358349013,0.6780717892496292,19.801820993423462,0,0.0
31,12,0.31686715509488933,0.10455327318548935,1.0,0.41381685030363374,0.7651941776275635,0,0.0
55,2,0.29403149734708234,0.005800313577273064,1.0,-0.0,0.0,0,0.0
240,40,0.28045775709370196,0.07629622824587268,0.4689955935892812,0.9609640474436811,0.5566771030426025,0,0.0
78,101,0.2658802218676827,0.1638598967169218,0.3812429099475164,0.7657212562595765,14.248771905899048,0,0.0
202,8,0.25595918434619275,0.09619844612527984,-0.0,0.9463946303571862,0.0007860660552978516,0,0.0
241,8,0.25542123766514363,0.09286136257079369,-0.0,0.9528195311147832,0.0012040138244628906,0,0.0
66,7,0.25333100559977256,0.00040160415038514863,0.5916727785823275,0.5916727785823275,4.0,0,0.0
228,100,0.2515215296567648,0.09685713468445745,0.32744491915447627,0.9246804326436822,8.425172090530396,0,0.0
144,8,0.2512008618126415,0.08562408453918735,-0.0,0.9463946303571862,0.010879039764404297,0,0.0
47,4,0.2503423649981617,0.00048303332924826137,1.0,-0.0,9.0,0,0.0
212,4,0.2501770875476634,0.00011575010591857726,1.0,-0.0,9.0,0,0.0
134,8,0.24970428030603287,0.08229829069624472,-0.0,0.9463946303571862,0.012731075286865234,0,0.0
138,8,0.2489313165552074,0.08058043513723234,-0.0,0.9463946303571862,0.017861127853393555,0,0.0
132,6,0.23308356042477016,0.002630894071105616,1.0,-0.0,18.0,0,0.0
192,6,0.23231502949498717,0.0012934179308471405,1.0,-0.0,6.0,0,0.0
209,6,0.23206357366295982,0.000271664230045654,1.0,-0.0,21.0,0,0.0
199,6,0.23201452937546577,0.00019354112203417984,1.0,-0.0,20.0,0,0.0
137,6,0.2319547221663438,0.0006161917684298635,1.0,-0.0,2.0,0,0.0
169,6,0.2319340199605866,0.00023068069390763668,1.0,-0.0,13.0,0,0.0
207,6,0.23191855746287685,0.00028891218047855105,1.0,-0.0,10.0,0,0.0
196,6,0.23188583799821427,9.274546888271562e-05,1.0,-0.0,14.0,0,0.0
113,6,0.23188498555024795,0.0003377647203155476,1.0,-0.0,6.0,0,0.0
231,6,0.2317616519512283,1.96166076571469e-06,1.0,-0.0,8.0,0,0.0
153,6,0.23172633212450738,4.6929947064899835e-05,1.0,-0.0,4.0,0,0.0
200,16,0.2280972536018383,0.08030647420972614,-0.0,0.9463946303571862,0.010487079620361328,0,0.0
13,12,0.22699719275738695,0.10113039859910478,-0.0,0.825011210824177,0.12994885444641113,0,0.0
146,9,0.2169394506767426,0.00011235952856381015,1.0,-0.0,16.0,0,0.0
30,12,0.21202421264551977,0.009507906732545979,1.0,-0.0,0.7651941776275635,0,0.0
186,9,0.2048821224535441,0.0006456113847743694,0.9182958340544896,-0.0,13.0,0,0.0
108,9,0.2047584005732967,9.289609533569276e-05,0.9182958340544896,-0.0,22.0,0,0.0
150,9,0.2047352177010125,4.137860137076732e-05,0.9182958340544896,-0.0,22.0,0,0.0
143,9,0.20468056707033574,7.425374307679089e-05,0.9182958340544896,-0.0,17.0,0,0.0
140,9,0.20463375584394305,0.00012454978319176302,0.9182958340544896,-0.0,12.0,0,0.0
158,9,0.20460250057656243,8.59578309879705e-05,0.9182958340544896,-0.0,11.0,0,0.0
201,9,0.20459887973902965,4.704732782867538e-05,0.9182958340544896,-0.0,12.0,0,0.0
191,9,0.20459342957223553,0.00015839263618744326,0.9182958340544896,-0.0,8.0,0,0.0
133,9,0.20457772957262307,4.695803623722128e-08,0.9182958340544896,-0.0,12.0,0,0.0
229,9,0.20455445705105357,1.0058638499121919e-05,0.9182958340544896,-0.0,10.0,0,0.0
195,9,0.20445175069327884,2.873586813556539e-05,0.9182958340544896,-0.0,2.0,0,0.0
234,224,0.2025887993375282,0.10897164525581793,0.222284830685688,0.7105214756126614,19.263667106628418,0,0.0
130,15,0.1961780889369653,0.0004406616730296964,0.9602297178607612,-0.0,22.0,0,0.0
129,48,0.19089271325263193,0.08901536269497579,-0.0,0.8124705732082964,7.034443140029907,0,0.0
193,48,0.19046377572130962,0.08812126784926422,-0.0,0.8124705732082964,5.119613885879517,0,0.0
184,18,0.1860130341513514,0.0012694964039313694,0.9206198357143051,-0.0,15.0,0,0.0
223,18,0.1851352683852934,3.184463756822353e-05,0.9182958340544896,-0.0,17.0,0,0.0
164,80,0.1686392448878321,0.08548273990002841,-0.0,0.718453978928621,3.112942934036255,0,0.0
120,15,0.16039857127616705,0.0003336325537467433,0.7219280948873623,-0.0,23.0,0,0.0
183,15,0.1602283381026449,0.0006034847607345739,0.7219280948873623,-0.0,2.0,0,0.0
243,2,0.14142135623730961,2.220446049250313e-16,-0.0,-0.0,0.0,0,0.0
114,2,0.14142135623730956,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
40,13,0.12565082460072913,0.02529590960601502,-0.0,0.39124356362925566,8.0,0,0.0
213,3,0.11693934338078543,0.002956445897714155,-0.0,-0.0,10.0,0,0.0
85,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
105,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
102,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
145,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
237,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
187,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
103,3,0.11547005383792533,3.3306690738754696e-16,-0.0,-0.0,0.0,0,0.0
97,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
109,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
159,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
180,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
80,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
206,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
204,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
236,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
135,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
161,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
95,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
168,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
239,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
101,3,0.11547005383792523,1.1102230246251565e-16,-0.0,-0.0,0.0,0,0.0
88,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
127,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
157,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
154,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
170,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
165,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
218,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
242,3,0.11547005383792518,0.0,-0.0,-0.0,0.0,0,0.0
