scenario_idx,alert_idx,cluster,time,raw_time,name,short,host,ip,event_label,hierarchical_event_label,is_attack
0,0,0,1739142477.0,1739142477.410284,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,webserver,172.17.130.37,-,-,False
0,1,0,1739142477.0,1739142477.410284,Wazuh: IDS event.,Wazuh: IDS event.,webserver,172.17.130.37,-,-,False
0,2,0,1739142477.0,1739142477.410408,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,3,0,1739142477.0,1739142477.410408,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,4,0,1739142477.0,1739142477.410475,Wazuh: IDS event.,Wazuh: IDS event.,webserver,172.17.130.37,-,-,False
0,5,0,1739142477.0,1739142477.410475,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,webserver,172.17.130.37,-,-,False
0,6,0,1739142477.0,1739142477.410714,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,7,0,1739142477.0,1739142477.410714,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,8,0,1739142477.0,1739142477.424449,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,webserver,172.17.130.37,-,-,False
0,9,0,1739142477.0,1739142477.424449,Wazuh: IDS event.,Wazuh: IDS event.,webserver,172.17.130.37,-,-,False
0,10,0,1739142477.0,1739142477.424565,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,11,0,1739142477.0,1739142477.424565,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,12,0,1739142477.0,1739142477.451615,Wazuh: IDS event.,Wazuh: IDS event.,webserver,172.17.130.37,-,-,False
0,13,0,1739142477.0,1739142477.451615,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,webserver,172.17.130.37,-,-,False
0,14,0,1739142477.0,1739142477.451775,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,15,0,1739142477.0,1739142477.451775,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,16,0,1739142477.0,1739142477.539127,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,17,0,1739142477.0,1739142477.539127,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,18,0,1739142477.0,1739142477.540042,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,webserver,172.17.130.37,-,-,False
0,19,0,1739142477.0,1739142477.540042,Wazuh: Multiple IDS alerts for same id.,Wazuh: Multiple IDS alerts for same id.,webserver,172.17.130.37,-,-,False
0,20,1,1739143965.0,1739143965.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,jonesmorgan_mail,192.168.128.170,-,-,False
0,21,2,1739144279.0,1739144279.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,taylorcruz_mail,192.168.128.195,-,-,False
0,22,3,1739144396.0,1739144396.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,23,3,1739144401.0,1739144401.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,24,3,1739144406.0,1739144406.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,25,3,1739144411.0,1739144411.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,26,3,1739144416.0,1739144416.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,27,3,1739144416.0,1739144416.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,28,4,1739144592.0,1739144592.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,whittaker_mail,192.168.131.228,-,-,False
0,29,5,1739144874.0,1739144874.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,miller_mail,192.168.129.212,-,-,False
0,30,6,1739147565.0,1739147565.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,jonesmorgan_mail,192.168.128.170,-,-,False
0,31,7,1739147879.0,1739147879.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,taylorcruz_mail,192.168.128.195,-,-,False
0,32,8,1739148016.0,1739148016.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,33,8,1739148021.0,1739148021.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,34,8,1739148026.0,1739148026.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,35,8,1739148032.0,1739148032.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,36,8,1739148037.0,1739148037.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,37,8,1739148037.0,1739148037.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,38,9,1739148192.0,1739148192.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,whittaker_mail,192.168.131.228,-,-,False
0,39,10,1739148474.0,1739148474.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,miller_mail,192.168.129.212,-,-,False
0,40,11,1739148654.0,1739148654.32,AMiner: CPU value out of expected range in monitoring logs.,A-Mon-Rng,monitoring,10.35.35.204,-,-,False
0,41,12,1739148699.0,1739148699.32,AMiner: CPU value out of expected range in monitoring logs.,A-Mon-Rng,monitoring,10.35.35.204,-,-,False
0,42,13,1739150966.0,1739150966.520831,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,43,13,1739150966.0,1739150966.520831,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,44,13,1739150966.0,1739150966.533896,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,45,13,1739150966.0,1739150966.533896,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,46,13,1739150966.0,1739150966.534723,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,47,13,1739150966.0,1739150966.534723,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,48,13,1739150966.0,1739150966.5869,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,49,13,1739150966.0,1739150966.5869,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,50,13,1739150966.0,1739150966.59061,Wazuh: First time this IDS alert is generated.,Wazuh: First time this IDS alert is generated.,inet-firewall,10.35.32.1,-,-,False
0,51,13,1739150966.0,1739150966.59061,Suricata: Alert - SURICATA HTTP unable to match response to request,S-Htt-Mat,inet-firewall,10.35.32.1,-,-,False
0,52,13,1739150966.0,1739150966.65078,Suricata: Alert - ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,S-Flw-Apt,inet-firewall,10.35.32.1,-,-,False
0,53,13,1739150966.0,1739150966.65078,Wazuh: IDS event.,Wazuh: IDS event.,inet-firewall,10.35.32.1,-,-,False
0,54,14,1739151165.0,1739151165.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,jonesmorgan_mail,192.168.128.170,-,-,False
0,55,15,1739151479.0,1739151479.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,taylorcruz_mail,192.168.128.195,-,-,False
0,56,16,1739151637.0,1739151637.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
0,57,16,1739151642.0,1739151642.0,Wazuh: ClamAV database update,Wazuh: ClamAV database update,mail,172.17.131.81,-,-,False
