cluster,cluster_size,uncertainty,centroid_uncertainty,host_entropy,short_entropy,time_span,true_attack_alerts,true_attack_ratio
102,14,0.7287380686862933,0.8646244629144675,0.9852281360342515,0.9211854965885544,17.479231119155884,0,0.0
143,31,0.7132243464208319,0.8991352566332584,0.9268762201601755,0.8867213981913766,47.0,0,0.0
161,22,0.6605915473891293,0.735701255116345,0.9922150607220183,0.9190292454608378,14.341923952102661,0,0.0
4,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
11,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
10,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
7,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
12,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
42,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
35,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
38,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
17,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
20,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
24,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
23,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
21,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
28,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
26,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
25,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
36,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
34,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
32,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
31,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
29,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
15,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
18,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
14,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
153,11,0.5231294625405272,0.45617451407582166,0.8085947862963576,0.9056185178648963,30.0,0,0.0
96,9,0.5142025949032109,0.38167891411895716,0.9182958340544896,0.9182958340544896,21.0,0,0.0
104,35,0.5101571605114638,0.5492134034610918,0.9622740838629925,0.5591849004951454,71.0,0,0.0
133,4,0.4862116257987917,0.3173033817653004,0.8112781244591328,0.8112781244591328,3.0,0,0.0
50,8,0.4621701246463468,0.37610133932249323,0.6695919455357793,0.8112781244591328,6.0,0,0.0
30,24,0.46124535568788316,0.347086074788739,1.0,0.7614744352643517,0.7651941776275635,0,0.0
73,6,0.4502939862226887,0.48569109954796164,1.0,-0.0,6.0,0,0.0
66,6,0.4449936104200198,0.4740050792457343,1.0,-0.0,3.0,0,0.0
37,14,0.4442445529628562,0.3116321904773809,0.8053204460925903,0.863120568566631,21.0,0,0.0
76,6,0.43823931261644145,0.4590572569661776,1.0,-0.0,1.0,0,0.0
45,22,0.43614512917072423,0.316649024234133,0.6752226218179921,0.9940302114769565,45.0,0,0.0
79,6,0.4255844793888558,0.4303181213987032,1.0,-0.0,21.0,0,0.0
138,57,0.4240270955867904,0.3863923393209412,0.6292492238560345,0.8603284141200661,16.07400393486023,0,0.0
145,6,0.4195688329365175,0.4168882897762233,1.0,-0.0,23.0,0,0.0
159,32,0.4186574380207848,0.20295638269649796,1.0,0.9463946303571862,0.902318000793457,0,0.0
70,29,0.41815011390182305,0.498346633690107,0.6768713778606542,0.362051251733998,66.0,0,0.0
0,20,0.41249933298819014,0.22431991697328435,1.0,0.7788813907161498,0.12975788116455078,0,0.0
19,24,0.38560997054281476,0.17902669268271698,1.0,0.7614744352643517,0.14144396781921387,0,0.0
99,47,0.38478644349655855,0.3220297728757868,0.9350414049407725,0.4567552073746944,139.0,0,0.0
